ugel;distrito;provincia;departamento;Nivel/ Modalidad;nª _II.EE;total_alumnos;cant_alumn_hombres;cant_alumn_mujeres;num_secciones;num_docentes;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ANGELITOS DE SANTA LIDIA;1;19;10;9;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ARCOIRIS;1;13;9;4;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;AURORITA;1;6;1;5;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;BURBUJITAS;1;12;6;6;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CAFECITOS;1;6;3;3;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CAHUIDE;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CAMPANITAS;1;10;8;2;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CAPULLITOS;1;14;11;3;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CARIÑOSITOS;1;10;3;7;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CHISPITAS DE ALGODON;1;8;5;3;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;COHUEN ROR;1;10;4;6;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;COLIBRI;1;8;6;2;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;COPITOS DE FANTASIA;1;11;7;4;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CORAZONES ALEGRES;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CREACIONES MAGICAS;1;8;3;5;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;CRISTALITOS DEL SABER;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;DESTELLITOS DEL AMANECER;1;11;7;4;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;DULCE ARMONIA;1;15;9;6;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;EL BOSQUE ENCANTADO;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ESTRELLITAS;2;28;16;12;0;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ESTRELLITAS DEL SABER;1;9;5;4;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ESTRELLITAS LUMINOSAS;1;9;3;6;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;GENIOS INNOVADORES;1;10;3;7;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;GOTITAS DE CAFE;1;9;5;4;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;GOTITAS DE LIMON;1;12;7;5;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;GRANITOS DE CAFE;1;11;8;3;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;HUELLITAS;1;12;8;4;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;IMPOKIRO;1;10;4;6;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LA CASITA DE MARÍA;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LA ELSA;1;9;4;5;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LAS ESTRELLITAS;1;8;4;4;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LAS HORMIGUITAS;1;9;5;4;0;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LAS MALVINAS;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LAS ORUGUITAS;1;20;9;11;0;3;
